Video No.,Nonleak Range Start (s),Nonleak Range End (s),Leak Range Start (s),Leak Range End (s)
2564,31,191,211,1451
2559,44,204,224,1464
2560,32,192,212,1452
2561,34,194,214,1454
2562,39,199,219,1459
1242,20,180,200,1440
1237,34,194,214,1454
1238,19,179,199,1439
1239,20,180,200,1440
1240,22,182,202,1442
2566,33,193,213,1453
2567,22,182,202,1442
2568,15,175,172,1412
2569,32,192,212,1452
2570,45,205,225,1465
2578,41,201,221,1461
2579,32,192,212,1452
2580,42,202,222,1462
2581,43,203,223,1463
2582,26,186,386,1626
1467,33,193,213,1453
1468,20,180,200,1440
1469,24,184,204,1444
1470,18,178,198,1438
1471,181,341,361,1601
