Class,leak_rate_scfh,Distance (m),Theta (deg),Wind Speed (mph),Leak rate m3/h,Leak Rate m3/s,Wind Speed (m/s),Area A (m2),Leak Concentration,% LEL,ppm
0.0,0.3,4.6,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,2.066822011683578,2.837732448e-07,5.675464896e-06,0.2837732448
1.0,16.8,4.6,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,2.066822011683578,1.5891301707989224e-05,0.0003178260341597845,15.891301707989223
2.0,43.2,4.6,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,2.066822011683578,4.086334724911514e-05,0.0008172669449823028,40.863347249115144
3.0,58.1,4.6,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,2.066822011683578,5.495741840679605e-05,0.001099148368135921,54.95741840679605
4.0,68.1,4.6,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,2.066822011683578,6.441652656631345e-05,0.0012883305313262689,64.41652656631345
5.0,84.2,4.6,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,2.066822011683578,7.964569070313645e-05,0.001592913814062729,79.64569070313645
6.0,109.5,4.6,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,2.066822011683578,0.00010357723434671544,0.0020715446869343087,103.57723434671544
7.0,124.3,4.6,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,2.066822011683578,0.00011757671442280119,0.002351534288456024,117.57671442280119
0.0,0.3,6.9,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,4.650349526288052,1.2612144212689852e-07,2.52242884253797e-06,0.12612144212689852
1.0,16.8,6.9,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,4.650349526288052,7.062800759106318e-06,0.00014125601518212637,7.062800759106318
2.0,43.2,6.9,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,4.650349526288052,1.816148766627339e-05,0.0003632297533254678,18.161487666273388
3.0,58.1,6.9,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,4.650349526288052,2.4425519291909347e-05,0.000488510385838187,24.425519291909346
4.0,68.1,6.9,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,4.650349526288052,2.8629567362805964e-05,0.0005725913472561193,28.629567362805965
5.0,84.2,6.9,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,4.650349526288052,3.539808475694952e-05,0.0007079616951389904,35.39808475694952
6.0,109.5,6.9,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,4.650349526288052,4.603432637631796e-05,0.0009206865275263592,46.034326376317956
7.0,124.3,6.9,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,4.650349526288052,5.225631752124495e-05,0.001045126350424899,52.25631752124495
0.0,0.3,8.8,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,7.5640215777304505,7.75392802125728e-08,1.550785604251456e-06,0.07753928021257281
1.0,16.8,8.8,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,7.5640215777304505,4.342199691904078e-06,8.684399383808156e-05,4.342199691904078
2.0,43.2,8.8,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,7.5640215777304505,1.1165656350610485e-05,0.0002233131270122097,11.165656350610485
3.0,58.1,8.8,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,7.5640215777304505,1.5016773934501599e-05,0.000300335478690032,15.016773934501598
4.0,68.1,8.8,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,7.5640215777304505,1.7601416608254025e-05,0.0003520283321650805,17.601416608254024
5.0,84.2,8.8,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,7.5640215777304505,2.1762691312995435e-05,0.0004352538262599087,21.762691312995436
6.0,109.5,8.8,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,7.5640215777304505,2.8301837277589074e-05,0.0005660367455517815,28.301837277589073
7.0,124.3,8.8,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,7.5640215777304505,3.2127108434742663e-05,0.0006425421686948533,32.12710843474267
0.0,0.3,9.8,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,9.380793289323767,6.252230174574799e-08,1.2504460349149597e-06,0.062522301745748
1.0,16.8,9.8,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,9.380793289323767,3.5012488977618886e-06,7.002497795523778e-05,3.5012488977618887
2.0,43.2,9.8,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,9.380793289323767,9.003211451387712e-06,0.00018006422902775424,9.003211451387712
3.0,58.1,9.8,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,9.380793289323767,1.2108485771426529e-05,0.00024216971542853058,12.10848577142653
4.0,68.1,9.8,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,9.380793289323767,1.4192562496284794e-05,0.00028385124992569586,14.192562496284793
5.0,84.2,9.8,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,9.380793289323767,1.7547926023306606e-05,0.0003509585204661321,17.547926023306605
6.0,109.5,9.8,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,9.380793289323767,2.282064013719802e-05,0.0004564128027439604,22.82064013719802
7.0,124.3,9.8,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,9.380793289323767,2.590507368998825e-05,0.000518101473799765,25.905073689988253
0.0,0.3,12.6,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,15.507025641535202,3.782213315483521e-08,7.564426630967042e-07,0.037822133154835215
1.0,16.8,12.6,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,15.507025641535202,2.1180394566707724e-06,4.236078913341545e-05,2.1180394566707723
2.0,43.2,12.6,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,15.507025641535202,5.446387174296271e-06,0.00010892774348592542,5.446387174296271
3.0,58.1,12.6,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,15.507025641535202,7.324886454319753e-06,0.00014649772908639506,7.324886454319754
4.0,68.1,12.6,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,15.507025641535202,8.585624226147594e-06,0.00017171248452295187,8.585624226147594
5.0,84.2,12.6,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,15.507025641535202,1.0615412038790417e-05,0.00021230824077580834,10.615412038790417
6.0,109.5,12.6,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,15.507025641535202,1.3805078601514853e-05,0.00027610157203029705,13.805078601514852
7.0,124.3,12.6,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,15.507025641535202,1.5670970503820056e-05,0.0003134194100764011,15.670970503820056
0.0,0.3,15.6,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,23.770406652330603,2.4673906392429484e-08,4.934781278485897e-07,0.024673906392429484
1.0,16.8,15.6,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,23.770406652330603,1.3817387579760514e-06,2.763477515952103e-05,1.3817387579760514
2.0,43.2,15.6,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,23.770406652330603,3.5530425205098463e-06,7.106085041019692e-05,3.5530425205098464
3.0,58.1,15.6,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,23.770406652330603,4.7785132046671775e-06,9.557026409334356e-05,4.778513204667178
4.0,68.1,15.6,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,23.770406652330603,5.600976751081493e-06,0.00011201953502162986,5.600976751081493
5.0,84.2,15.6,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,23.770406652330603,6.925143060808543e-06,0.00013850286121617084,6.9251430608085425
6.0,109.5,15.6,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,23.770406652330603,9.005975833236762e-06,0.00018011951666473526,9.005975833236763
7.0,124.3,15.6,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,23.770406652330603,1.022322188192995e-05,0.000204464437638599,10.22322188192995
0.0,0.3,18.6,20.0,9,0.008495049599644349,2.359735999901208e-06,4.02336,33.79195383563567,1.7356462769284423e-08,3.4712925538568847e-07,0.017356462769284424
1.0,16.8,18.6,20.0,9,0.47572277758008363,0.0001321452159944677,4.02336,33.79195383563567,9.71961915079928e-07,1.943923830159856e-05,0.9719619150799279
2.0,43.2,18.6,20.0,9,1.2232871423487865,0.00033980198398577403,4.02336,33.79195383563567,2.4993306387769574e-06,4.998661277553915e-05,2.4993306387769576
3.0,58.1,18.6,20.0,9,1.6452079391311225,0.00045700220531420067,4.02336,33.79195383563567,3.361368289651417e-06,6.722736579302834e-05,3.3613682896514168
4.0,68.1,18.6,20.0,9,1.9283762591192672,0.0005356600719775743,4.02336,33.79195383563567,3.939917048627564e-06,7.879834097255129e-05,3.9399170486275645
5.0,84.2,18.6,20.0,9,2.384277254300181,0.0006622992373056058,4.02336,33.79195383563567,4.871380550579162e-06,9.742761101158324e-05,4.871380550579162
6.0,109.5,18.6,20.0,9,3.1006931038701877,0.000861303639963941,4.02336,33.79195383563567,6.335108910788815e-06,0.0001267021782157763,6.335108910788815
7.0,124.3,18.6,20.0,9,3.5197822174526423,0.000977717282625734,4.02336,33.79195383563567,7.191361074073513e-06,0.00014382722148147025,7.191361074073512
,,,,,,,,,,,
