Video No.,Imaging Distance to the leak (m),Date,Shooting Time,Start Time for Leak 0 Video Clip,Start Time for Leak 1 Video Clip
2564,4.6,7/13/17,11:28,0:16,3:16
2559,6.9,7/13/17,9:10,0:29,3:29
2560,9.8,7/13/17,9:37,0:17,3:17
2561,12.6,7/13/17,10:04,0:19,3:19
2562,15.6,7/13/17,10:43,0:24,3:24
2563,18.6,7/13/17,11:00,0:11,3:11
1242,4.6,7/13/17,11:30,0:05,3:05
1237,6.9,7/13/17,9:14,0:19,3:19
1238,9.8,7/13/17,9:44,0:04,3:04
1239,12.6,7/13/17,10:10,0:05,3:05
1240,15.6,7/13/17,10:34,0:07,3:07
1241,18.6,7/13/17,11:03,0:06,3:06
2566,4.6,7/13/17,12:25,0:18,3:18
2567,6.9,7/13/17,12:38,0:07,3:07
2568,9.8,7/13/17,13:04,0:00,2:37
2569,12.6,7/13/17,13:30,0:17,3:17
2570,15.6,7/13/17,13:55,0:30,3:30
2571,18.6,7/13/17,14:19,0:27,3:27
2578,4.6,7/14/17,8:22,0:26,3:26
2579,6.9,7/14/17,8:53,0:17,3:17
2580,9.8,7/14/17,9:21,0:27,3:27
2581,12.6,7/14/17,9:48,0:28,3:28
2582,15.6,7/14/17,10:17,0:11,6:11
2583,18.6,7/14/17,11:04,0:34,3:34
1467,4.6,7/14/17,8:25,0:18,3:18
1468,6.9,7/14/17,8:59,0:05,3:05
1469,9.8,7/14/17,9:26,0:09,3:09
1470,12.6,7/14/17,9:56,0:03,3:03
1471,15.6,7/14/17,10:22,2:46,5:46
1472,18.6,7/14/17,11:03,0:04,3:04
1473,8.8,7/14/17,11:37,0:01,3:01
,,,,,
Note:  1 videos taken at 18.6 m were not included as 18.6 m is too far for an operator to detect leaks in the real cases. ,,,,,
"2 To ensure the dataset balance, we also ignore the video collected at 8.8 m.",,,,,
