video_number,x,y,width,height
1237,170,120,15,15
1238,197,151,15,15
1239,172,149,15,15
1240,188,137,15,15
1242,166,127,15,15
1467,170,140,15,15
1468,162,155,15,15
1469,184,174,15,15
1470,180,180,15,15
1471,178,174,15,15
2559,167,137,15,15
2560,167,155,15,15
2561,161,149,15,15
2562,178,158,15,15
2564,167,137,15,15
2566,167,123,15,15
2567,179,160,15,15
2568,171,161,15,15
2569,159,145,15,15
2570,191,118,15,15
2578,184,137,15,15
2579,161,137,15,15
2580,178,160,15,15
2581,169,164,15,15
2582,179,184,15,15
